Year,Category,Provincial government ,Federal direct ,Municipal government ,Social security funds ,Public-sector total,Private-sector ,Total 
1999,A.2.5: Expenditure by year,1851.5646739999997,99.82628335,17.88601962,35.89059768,2005.167575,854.3786328,2859.5462079999998
2000,A.2.5: Expenditure by year,1905.2924829999997,108.0636047,20.66917189,38.87157442,2072.896834,893.4308890000001,2966.327723
2001,A.2.5: Expenditure by year,1985.4735030000002,123.2821043,22.52744228,40.84389778,2172.1269469999997,945.295991,3117.4229379999997
2002,A.2.5: Expenditure by year,2034.1352530000001,114.50139229999999,22.90543793,41.75023554,2213.292319,1001.016801,3214.30912
2003,A.2.5: Expenditure by year,2114.723855,125.33554070000001,24.59509354,46.04497073,2310.6994600000003,1025.6446130000002,3336.3440739999996
2004,A.2.5: Expenditure by year,2187.0279010000004,123.2209502,27.40456493,47.6162982,2385.269714,1063.92046,3449.1901740000003
2005,A.2.5: Expenditure by year,2242.18815,121.7481586,24.93279359,48.45216545,2437.321268,1095.203202,3532.5244700000003
2006,A.2.5: Expenditure by year,2297.17625,124.68460230000001,24.58107192,50.08728851,2496.529213,1160.697308,3657.22652
2007,A.2.5: Expenditure by year,2369.490625,129.44701659999998,21.980216600000002,50.21095685,2571.128815,1178.9781560000001,3750.106971
2008,A.2.5: Expenditure by year,2438.993778,138.1455541,18.86823046,52.36308181,2648.370645,1209.688881,3858.059525
2009,A.2.5: Expenditure by year,2491.283355,144.79607959999998,19.49784654,51.84997843,2707.427259,1216.420685,3923.8479439999996
2010,A.2.5: Expenditure by year,2580.006163,133.92906000000002,19.49597256,52.79983341,2786.231029,1266.018931,4052.24996
2011,A.2.5: Expenditure by year,2564.228817,130.5153152,16.78971849,50.79610507,2762.329956,1269.232082,4031.5620369999997
2012,A.2.5: Expenditure by year,2562.998035,129.78893440000002,16.36743856,52.52042274,2761.674831,1291.3666289999999,4053.0414590000005
2013,A.2.5: Expenditure by year,2516.866341,124.74824440000002,14.70844789,52.96485056,2709.287884,1292.121895,4001.409779
2014,A.2.5: Expenditure by year,2501.6983149999996,123.07324170000001,14.17205044,52.44498009,2691.388587,1323.006569,4014.395156
2015,A.2.5: Expenditure by year,2554.613211,121.608377,14.05205221,52.73067147,2743.004311,1354.165,4097.169311
2016,A.2.5: Expenditure by year,2562.184284,127.60615259999999,13.71362677,53.80887905,2757.312943,1407.7555380000001,4165.06848
2017,A.2.5: Expenditure by year,2601.322202,127.19614779999999,13.6280103,55.35629685,2797.502657,1430.854405,4228.357062
2018,A.2.5: Expenditure by year,2626.999747,126.9265632,13.30284125,54.43102569,2821.6601769999997,1473.432289,4295.092466
